"Revenue type";"Date";"Planned revenue volume";"Actual revenue volume";"Revenue completion rate";"global_id"
"Вид дохода";"Дата";"Планируемый объём дохода";"Фактическое исполнение";"Процент исполнения";"global_id"
"Административные штрафы, установленные законами субъектов Российской Федерации об административных правонарушениях";"01.07.2024";"11.8";"5.3";"44.9";"2696369643"
"НАЛОГИ НА ПРИБЫЛЬ, ДОХОДЫ";"01.07.2024";"3362.3";"1745.4";"51.9";"2696369644"
"ДОХОДЫ ОТ ИСПОЛЬЗОВАНИЯ ИМУЩЕСТВА, НАХОДЯЩЕГОСЯ В ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ СОБСТВЕННОСТИ";"01.07.2024";"188";"134";"71.3";"2696369645"
"Штрафы, неустойки, пени, уплаченные в соответствии с законом или договором в случае неисполнения или ненадлежащего исполнения обязательств перед государственным (муниципальным) органом, органом управления государственным внебюджетным фондом, казенным учреждением, Центральным банком Российской Федерации, иной организацией, действующей от имени Российской Федерации";"01.07.2024";"4.1";"1.6";"40";"2696369646"
"Налог на прибыль организаций";"01.07.2024";"1458.2";"851.2";"58.4";"2696369648"
"Платежи в целях возмещения причиненного ущерба (убытков)";"01.07.2024";"0.1";"0.04";"71.9";"2696369649"
"Доходы от размещения средств бюджетов";"01.07.2024";"73";"63.8";"87.4";"2696369650"
"Налог на доходы физических лиц";"01.07.2024";"1904.1";"894.2";"47";"2696369651"
"Платежи, уплачиваемые в целях возмещения вреда";"01.07.2024";"0.04";"0.02";"34.6";"2696369652"
"Доходы, получаемые в виде арендной либо иной платы за передачу в возмездное пользование государственного и муниципального имущества (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных)";"01.07.2024";"104.8";"65.9";"62.9";"2696369653"
"НАЛОГИ НА ТОВАРЫ (РАБОТЫ, УСЛУГИ), РЕАЛИЗУЕМЫЕ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ";"01.07.2024";"65.3";"28.4";"43.5";"2696369654"
"Доходы от сумм пеней, предусмотренных законодательством Российской Федерации о налогах и сборах, подлежащие зачислению в бюджеты субъектов Российской Федерации по нормативу, установленному Бюджетным кодексом Российской Федерации, распределяемые Федеральным казначейством между бюджетами субъектов Российской Федерации в соответствии с федеральным законом о федеральном бюджете";"01.07.2024";"5.2";"7.7";"146.3";"2696369655"
"Плата по соглашениям об установлении сервитута в отношении земельных участков, находящихся в государственной или муниципальной собственности";"01.07.2024";"0.004";"0.01";"286.2";"2696369656"
"Акцизы по подакцизным товарам (продукции), производимым на территории Российской Федерации";"01.07.2024";"65.3";"28.4";"43.5";"2696369657"
"ПРОЧИЕ НЕНАЛОГОВЫЕ ДОХОДЫ";"01.07.2024";"39.9";"47.8";"119.9";"2696369658"
"Платежи от государственных и муниципальных унитарных предприятий";"01.07.2024";"0.3";"0.5";"167";"2696369659"
"НАЛОГИ НА СОВОКУПНЫЙ ДОХОД";"01.07.2024";"267.7";"171.6";"64.1";"2696369660"
"Невыясненные поступления";"01.07.2024";"";"-0.001";"";"2696369661"
"Средства, получаемые от передачи имущества, находящегося в государственной и муниципальной собственности (за исключением имущества бюджетных и автономных учреждений, а также имущества государственных и муниципальных унитарных предприятий, в том числе казенных), в залог, в доверительное управление";"01.07.2024";"0.1";"0.1";"73.3";"2696369662"
"Прочие неналоговые доходы";"01.07.2024";"39.9";"47.8";"119.9";"2696369663"
